"OrderedDict([('DateTime', datetime.datetime(2021, 7, 20, 18, 55, 28, 893610)), ('pm1_cf', 4), ('pm25_cf', 4), ('pm10_cf', 5), ('pm1', 4), ('pm25', 4), ('pm10', 5)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 20, 18, 56, 31, 182669)), ('pm1_cf', 3), ('pm25_cf', 4), ('pm10_cf', 4), ('pm1', 3), ('pm25', 4), ('pm10', 4)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 20, 18, 57, 31, 426242)), ('pm1_cf', 5), ('pm25_cf', 7), ('pm10_cf', 7), ('pm1', 5), ('pm25', 7), ('pm10', 7)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 20, 18, 58, 31, 809913)), ('pm1_cf', 5), ('pm25_cf', 6), ('pm10_cf', 6), ('pm1', 5), ('pm25', 6), ('pm10', 6)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 20, 18, 59, 32, 192232)), ('pm1_cf', 4), ('pm25_cf', 7), ('pm10_cf', 7), ('pm1', 4), ('pm25', 7), ('pm10', 7)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 20, 19, 0, 32, 642136)), ('pm1_cf', 5), ('pm25_cf', 6), ('pm10_cf', 6), ('pm1', 5), ('pm25', 6), ('pm10', 6)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 27, 18, 27, 35, 177890)), ('pm1_cf', 3), ('pm25_cf', 7), ('pm10_cf', 7), ('pm1', 3), ('pm25', 7), ('pm10', 7)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 27, 18, 28, 35, 567011)), ('pm1_cf', 4), ('pm25_cf', 6), ('pm10_cf', 6), ('pm1', 4), ('pm25', 6), ('pm10', 6)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 27, 18, 29, 35, 952481)), ('pm1_cf', 3), ('pm25_cf', 5), ('pm10_cf', 6), ('pm1', 3), ('pm25', 5), ('pm10', 6)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 27, 18, 30, 36, 406990)), ('pm1_cf', 5), ('pm25_cf', 6), ('pm10_cf', 7), ('pm1', 5), ('pm25', 6), ('pm10', 7)])"
"OrderedDict([('DateTime', datetime.datetime(2021, 7, 27, 18, 31, 36, 785880)), ('pm1_cf', 5), ('pm25_cf', 7), ('pm10_cf', 7), ('pm1', 5), ('pm25', 7), ('pm10', 7)])"
